hotel_name,district,address,city,property_type,verification_status,source_authority,source_url,last_source_review,hotel_name_ar,hotel_name_en,bilingual_name_method
فندق هوم تل,العريض,العريض، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق هوم تل,Home Tel Hotel,OTA/brand matched
فندق نرسيان طيبة,العريض,العريض، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق نرسيان طيبة,Narsian Taiba Hotel,OTA/brand matched
فندق دار الشروق,العريض,العريض، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق دار الشروق,Dar Al Shorouq Hotel,OTA/brand matched
فندق طيبة فيو,العريض,العريض، المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق طيبة فيو,Taiba View Hotel,OTA/brand matched
فندق مكارم برج المدينة,المنطقة المركزية,المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق مكارم برج المدينة,Makarem Burj Al Madinah Hotel,OTA/brand matched
فندق بنينسولا ورث,المنطقة المركزية,المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق بنينسولا ورث,Peninsula Worth Hotel,OTA/brand matched
فندق جادة ريزيدنس باي سي إتش,خارج المنطقة المركزية,المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق جادة ريزيدنس باي سي إتش,Jadah Residence-BY CH,OTA/brand matched
فندق فينيو الحارثية,المنطقة المركزية الشمالية,قرب المسجد النبوي,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق فينيو الحارثية,The Venue Al Harithia Hotel,OTA/brand matched
فندق ذا بلتمور المدينة,المنطقة المركزية,المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق ذا بلتمور المدينة,The Biltmore Almadinah Hotel,OTA/brand matched
فندق جراند ميلينيوم الحرم,المنطقة المركزية,قرب المسجد النبوي,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق جراند ميلينيوم الحرم,Grand Millennium Al Haram,OTA/brand matched
فندق روتانا المناخة المدينة,المنطقة المركزية,المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق روتانا المناخة المدينة,Rotana Al Manakha Madinah,OTA/brand matched
فندق جيور المدينة,المنطقة المركزية,قرب المسجد النبوي,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق جيور المدينة,Jiwar Al Madina Hotel,OTA/brand matched
فندق إيوا إكسبريس المدينة,خارج المنطقة المركزية,المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق إيوا إكسبريس المدينة,Ewaa Express Hotel Madinah,OTA/brand matched
فندق آفال,خارج المنطقة المركزية,المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق آفال,AVAL Hotel,OTA/brand matched
فندق سيجنتشر جيست المدينة,خارج المنطقة المركزية,المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق سيجنتشر جيست المدينة,Signature Guest Hotel Al Madinah,OTA/brand matched
فندق دار الرضا,خارج المنطقة المركزية,المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق دار الرضا,Dar Al Reda,OTA/brand matched
فندق ميراج السلام,المنطقة المركزية,المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق ميراج السلام,Mirage Al Salam,OTA/brand matched
فندق سرايا طابة,المنطقة المركزية,المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق سرايا طابة,Saraya Taba Hotel,OTA/brand matched
فندق زها المدينة,خارج المنطقة المركزية,المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق زها المدينة,Zaha Al Madina Hotel,OTA/brand matched
فندق درة الإيمان,المنطقة المركزية,المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق درة الإيمان,Durrat Al Eiman Hotel,OTA/brand matched
فندق ديار المدينة,خارج المنطقة المركزية,المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق ديار المدينة,Diyar Al Madina Hotel,OTA/brand matched
فندق منازل الصافية,المنطقة المركزية,المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق منازل الصافية,Manazil Al Safia Hotel,OTA/brand matched
فندق المدينة الذهبي,المنطقة المركزية,المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق المدينة الذهبي,Al Madina Golden Hotel,OTA/brand matched
فندق نزل الهجرة,المنطقة المركزية,المدينة المنورة,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,2026-07-21,فندق نزل الهجرة,Nozol Al Hijrah Hotel,OTA/brand matched
Anwar Al Madinah Mövenpick Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق أنوار المدينة موفنبيك,Anwar Al Madinah Mövenpick Hotel,OTA English + standardized Arabic
Pullman Zamzam Madina,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق بولمان زمزم المدينة,Pullman Zamzam Madina,OTA English + standardized Arabic
Sofitel Shahd Al Madinah,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق سوفيتيل شهد المدينة,Sofitel Shahd Al Madinah,OTA English + standardized Arabic
Saja Al Madinah Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق سجى المدينة,Saja Al Madinah Hotel,OTA English + standardized Arabic
Millennium Al Aqeeq Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق ميلينيوم العقيق,Millennium Al Aqeeq Hotel,OTA English + standardized Arabic
Makarem Burj Al Madinah Hotel and Suites,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,أجنحة مكارم بورج المدينة,Makarem Burj Al Madinah Hotel and Suites,OTA English + standardized Arabic
Novotel Madinah,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,نوفوتيل المدينة,Novotel Madinah,OTA English + standardized Arabic
Millennium Taiba Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق ميلينيوم طيبة,Millennium Taiba Hotel,OTA English + standardized Arabic
Golden Tulip Al Zahabi,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,جولدن توليب الذهبي,Golden Tulip Al Zahabi,OTA English + standardized Arabic
Peninsula Worth Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق بنينسولا ورث,Peninsula Worth Hotel,OTA English + standardized Arabic
Rasia Hotel Madinah,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق راسيا المدينة,Rasia Hotel Madinah,OTA English + standardized Arabic
Zaha Taiba Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق زها طيبة,Zaha Taiba Hotel,OTA English + standardized Arabic
Intercontinental Madinah - Dar Al Iman by IHG,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,إنتركونتيننتالمدينة دار الإيمان من آي إتش جي,Intercontinental Madinah - Dar Al Iman by IHG,OTA English + standardized Arabic
Jiwar Al Madina Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق جيور المدينة,Jiwar Al Madina Hotel,OTA English + standardized Arabic
Elaf Al Taqwa Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق إيلاف التقوى,Elaf Al Taqwa Hotel,OTA English + standardized Arabic
Taiba Front Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق طيبة فرونت,Taiba Front Hotel,OTA English + standardized Arabic
Rotana Al Manakha Madinah,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق روتانا المناخة المدينة,Rotana Al Manakha Madinah,OTA English + standardized Arabic
MADINAH ARAM HOTEL,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق المدينة أرام,MADINAH ARAM HOTEL,OTA English + standardized Arabic
Aya Hostel For Shared Bedrooms,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,نزل آية فور غرف مشتركة,Aya Hostel For Shared Bedrooms,OTA English + standardized Arabic
Madinah Hilton,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق المدينة هيلتون,Madinah Hilton,OTA English + standardized Arabic
Makarem Haram View Suites - Madinah,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,أجنحة مكارم الحرم فيو المدينة,Makarem Haram View Suites - Madinah,OTA English + standardized Arabic
Sidra Alia AL-DAHABI hotel - فندق السدرة العالية الذهبي,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق السدرة العالية الذهبي,Sidra Alia AL DAHABI hotel,Bilingual source row
MASA AL NAJWA,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,ماسة النجوى,MASA AL NAJWA,OTA English + standardized Arabic
Gulnar Taiba Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق جلنار طيبة,Gulnar Taiba Hotel,OTA English + standardized Arabic
GOLDEN TULIP AL SHAKREEN,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق نزل الشاكرين,GOLDEN TULIP AL SHAKREEN,OTA English + standardized Arabic
Sky View Hotel Madinah,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق سكاي فيو المدينة,Sky View Hotel Madinah,OTA English + standardized Arabic
Crowne Plaza Madinah by IHG,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق كراون بلازا المدينة,Crowne Plaza Madinah by IHG,OTA English + standardized Arabic
The Biltmore Almadinah Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق ذا بلتمور المدينة,The Biltmore Almadinah Hotel,OTA English + standardized Arabic
InterContinental Dar Al Hijra Madinah by IHG,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق إنتركونتيننتال دار الهجرة,InterContinental Dar Al Hijra Madinah by IHG,OTA English + standardized Arabic
Grand AL-Shahbaa,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,جراند الشهباء,Grand AL-Shahbaa,OTA English + standardized Arabic
"Diyar Ajwa, Tapestry Collection By Hilton",,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,ديار اجوا تابستري كوليكشن من هيلتون,"Diyar Ajwa, Tapestry Collection By Hilton",OTA English + standardized Arabic
DoubleTree By Hilton Madinah Gate,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,دبل تري من هيلتون المدينة جيت,DoubleTree By Hilton Madinah Gate,OTA English + standardized Arabic
Jayden Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق جايدن,Jayden Hotel,OTA English + standardized Arabic
Waqf Othman Bin Affan Hotel فندق وقف عثمان بن عفان,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق وقف عثمان بن عفان,Waqf Othman Bin Affan Hotel,Bilingual source row
Zaha Al Madina Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق زها المدينة,Zaha Al Madina Hotel,OTA English + standardized Arabic
Emaar Rsoukh Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق إعمار رسوخ,Emaar Rsoukh Hotel,OTA English + standardized Arabic
HAYATT INTERNATIONAL HOTEL,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق حياة إنترناشيونال,HAYATT INTERNATIONAL HOTEL,OTA English + standardized Arabic
Radisson Hotel Madinah,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق راديسون المدينة,Radisson Hotel Madinah,OTA English + standardized Arabic
New Madinah Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق نيو المدينة,New Madinah Hotel,OTA English + standardized Arabic
Elaf Taiba Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق إيلاف طيبة,Elaf Taiba Hotel,OTA English + standardized Arabic
"Sedra Al Aalami Hotel, Madinah",,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق سدرة العالمي المدينة,"Sedra Al Aalami Hotel, Madinah",OTA English + standardized Arabic
Al Marzam Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق ال مرزم,Al Marzam Hotel,OTA English + standardized Arabic
MADEN Hotel-مادن,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,مادن,MADEN Hotel,Bilingual source row
أجنحة لفيف (السلام) - Lafif Apartments (Al-Salam),,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,أجنحة لفيف ( السلام ),( ) Lafif Apartments (Al Salam),Bilingual source row
Diyafa Al Mukhtara Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق ضيافة المختارة,Diyafa Al Mukhtara Hotel,OTA English + standardized Arabic
Nusk Al Hijrah Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق نُسك الهجرة,Nusk Al Hijrah Hotel,OTA English + standardized Arabic
MADINAH DELUXE,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,المدينة ديلوكس,MADINAH DELUXE,OTA English + standardized Arabic
Zowar Alalami Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق زوار الالامي,Zowar Alalami Hotel,OTA English + standardized Arabic
Hafawah Suites,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,أجنحة حفاوة,Hafawah Suites,OTA English + standardized Arabic
MG Crown Hotel 1,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق مج كراون 1,MG Crown Hotel 1,OTA English + standardized Arabic
E hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق إي هوتيل,E hotel,OTA English + standardized Arabic
Al Mukhtara Almasi Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق المختارة الماسي,Al Mukhtara Almasi Hotel,OTA English + standardized Arabic
Itlalat Uhud Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق إطلالات أحد,Itlalat Uhud Hotel,OTA English + standardized Arabic
Shaza Regency Plaza,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,شذا ريجنسي بلازا,Shaza Regency Plaza,OTA English + standardized Arabic
Maysan Al Harithia hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق ميسان الحارثية,Maysan Al Harithia hotel,OTA English + standardized Arabic
sebal almasi hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,فندق سبالماسي,sebal almasi hotel,OTA English + standardized Arabic
Maysan Rehab AL Mysk,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21,ميسان رحاب المسك,Maysan Rehab AL Mysk,OTA English + standardized Arabic
