hotel_name,district,address,city,property_type,verification_status,source_authority,source_url,last_source_review
Makarem Burj Al Madinah Hotel and Suites,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Novotel Madinah,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Millennium Taiba Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Golden Tulip Al Zahabi,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Peninsula Worth Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Rasia Hotel Madinah,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Zaha Taiba Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Intercontinental Madinah - Dar Al Iman by IHG,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Jiwar Al Madina Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Elaf Al Taqwa Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Taiba Front Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Rotana Al Manakha Madinah,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
MADINAH ARAM HOTEL,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Aya Hostel For Shared Bedrooms,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Madinah Hilton,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Makarem Haram View Suites - Madinah,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Sidra Alia AL-DAHABI hotel - فندق السدرة العالية الذهبي,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
MASA AL NAJWA,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Gulnar Taiba Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
GOLDEN TULIP AL SHAKREEN,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Sky View Hotel Madinah,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Crowne Plaza Madinah by IHG,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
The Biltmore Almadinah Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
InterContinental Dar Al Hijra Madinah by IHG,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Grand AL-Shahbaa,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
"Diyar Ajwa, Tapestry Collection By Hilton",,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
DoubleTree By Hilton Madinah Gate,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Jayden Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Waqf Othman Bin Affan Hotel فندق وقف عثمان بن عفان,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Zaha Al Madina Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Emaar Rsoukh Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
HAYATT INTERNATIONAL HOTEL,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Radisson Hotel Madinah,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
New Madinah Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Elaf Taiba Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
"Sedra Al Aalami Hotel, Madinah",,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Al Marzam Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
MADEN Hotel-مادن,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
أجنحة لفيف (السلام) - Lafif Apartments (Al-Salam),,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Diyafa Al Mukhtara Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Nusk Al Hijrah Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
MADINAH DELUXE,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Zowar Alalami Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Hafawah Suites,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
MG Crown Hotel 1,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
E hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Al Mukhtara Almasi Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Itlalat Uhud Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Shaza Regency Plaza,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Maysan Al Harithia hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
sebal almasi hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Maysan Rehab AL Mysk,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Sanabel Al Madina Serviced Apartments,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Zaha Al Munawara Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
ODST ALMADINA HOTEL فندق اودست المدينة,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Amriya Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Maysan Al Taqwa,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Dan Golden Hotel & Lounge,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Nozol snabel almadinah,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Nusk Al Eiman Hotel Al Madina,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
The Seasons Hotels,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
EMAAR MEKTAN,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Karam Taibah Almasi,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Abraj Almarzam Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Season Star Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
In Taiba Apartment,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Emaar Royal Hotel Al Madina,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Azard Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Grand Zowar Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Jawar Al Rahma,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Grand Plaza Badr Al Maqam,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Hotel Karam Al Madina,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Westin Mark Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Wardat rahiq,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Al Mukhtara International Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Ouhd Hill Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Hotel Taba Al Salam,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Maden AlRawda مادن الروضة,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Al Fakhama Aldahbai Al-Shohada,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Millennium Madinah Airport,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Platinum Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Maden Taibah Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Rua Al Hijrah Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Lumian Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Le Meridien Medina,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
MG Crown Hotel 3,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
ALRITZ ALMADINAH HOTEL,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
سوار الذهب للشقق المخدومه,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Elite Haven New Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Nusk Al Madinah Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
نزل صفاء بارك,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Dallah Taibah Hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Mg Crown Hotel 2,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
SALSBIL AL ALMASI HOTEL,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
اونارا ستاي 2 للشقق المخدومه,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Hotel Ajnihat Safwa Taiba,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Alansar platinum hotel,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
Al Aqeeq Hotel Madinah ex. Millennium,,,المدينة المنورة,Hotel / Accommodation,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,2026-07-21
