hotel_name_ar,hotel_name_en,city,district,zone_type,proximity_band,central_map_number,central_sector,distance_to_haram_km,verification_status,source_authority,source_url,source_map_edition,source_notes,name_method,source_catalogue
المروة كريم,Al Mrwa Krym Hotel,المدينة المنورة,المنطقة المركزية,المنطقة المركزية / Central Zone,داخل المنطقة المركزية / Central Area,334,300,0,رسمي موثق / Official Verified,المخطط الإرشادي للمسجد النبوي ومرافقه وفنادق المنطقة المركزية,,1448هـ / 2026م,تمت مطابقة الاسم ورقم الموقع من المخطط المرفق؛ الترخيص التجاري يحتاج تحققًا مستقلاً,Standardized transliteration from official-map Arabic name,Central204
فندق المستراح,Al Mustarah Hotel,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
المناخة روتانا 1,Al Manakha Rotana 1 Hotel,المدينة المنورة,المنطقة المركزية,المنطقة المركزية / Central Zone,داخل المنطقة المركزية / Central Area,373,300,0,رسمي موثق / Official Verified,المخطط الإرشادي للمسجد النبوي ومرافقه وفنادق المنطقة المركزية,,1448هـ / 2026م,تمت مطابقة الاسم ورقم الموقع من المخطط المرفق؛ الترخيص التجاري يحتاج تحققًا مستقلاً,Standardized transliteration from official-map Arabic name,Central204
المناخة روتانا 2,Al Manakha Rotana 2 Hotel,المدينة المنورة,المنطقة المركزية,المنطقة المركزية / Central Zone,داخل المنطقة المركزية / Central Area,372,300,0,رسمي موثق / Official Verified,المخطط الإرشادي للمسجد النبوي ومرافقه وفنادق المنطقة المركزية,,1448هـ / 2026م,تمت مطابقة الاسم ورقم الموقع من المخطط المرفق؛ الترخيص التجاري يحتاج تحققًا مستقلاً,Standardized transliteration from official-map Arabic name,Central204
المنى كريم,Al Mna Krym Hotel,المدينة المنورة,المنطقة المركزية,المنطقة المركزية / Central Zone,داخل المنطقة المركزية / Central Area,122,100,0,رسمي موثق / Official Verified,المخطط الإرشادي للمسجد النبوي ومرافقه وفنادق المنطقة المركزية,,1448هـ / 2026م,تمت مطابقة الاسم ورقم الموقع من المخطط المرفق؛ الترخيص التجاري يحتاج تحققًا مستقلاً,Standardized transliteration from official-map Arabic name,Central204
فندق ال منى كريم يكس ليدير,Al Muna Kareem Hotel- EX LEADER,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Booking.com Madinah directory,https://www.booking.com/city/sa/medina.en-gb.html,,,OTA English + standardized Arabic,OTA400
الموختار الداهبي,Almukhtar Aldahbe,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
فندق الوردة البيضاء,White Rose Hotel,المدينة المنورة,العريض,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,,,OTA/brand matched,OTA400
أمجاد السلام,Amjad Al Salam Hotel,المدينة المنورة,المنطقة المركزية,المنطقة المركزية / Central Zone,داخل المنطقة المركزية / Central Area,122,100,0,رسمي موثق / Official Verified,المخطط الإرشادي للمسجد النبوي ومرافقه وفنادق المنطقة المركزية,,1448هـ / 2026م,تمت مطابقة الاسم ورقم الموقع من المخطط المرفق؛ الترخيص التجاري يحتاج تحققًا مستقلاً,Standardized transliteration from official-map Arabic name,Central204
أمجاد الغراء,Amjad Al Ghra' Hotel,المدينة المنورة,المنطقة المركزية,المنطقة المركزية / Central Zone,داخل المنطقة المركزية / Central Area,215,200,0,رسمي موثق / Official Verified,المخطط الإرشادي للمسجد النبوي ومرافقه وفنادق المنطقة المركزية,,1448هـ / 2026م,تمت مطابقة الاسم ورقم الموقع من المخطط المرفق؛ الترخيص التجاري يحتاج تحققًا مستقلاً,Standardized transliteration from official-map Arabic name,Central204
فندق إمضاء النزيل,Imdaa Al Nazil Hotel,المدينة المنورة,شظاة,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,,,OTA/brand matched,OTA400
فندق أناف,Anaf Hotel,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
فندق إنتركونتيننتال دار الإيمان,InterContinental Dar Al Iman Madinah by IHG,المدينة المنورة,المنطقة المركزية الشمالية,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,,,OTA/brand matched,OTA400
فندق إنتركونتيننتال دار الهجرة,InterContinental Dar Al Hijra Madinah by IHG,المدينة المنورة,المنطقة المركزية الشمالية,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,,,OTA/brand matched,OTA400
إنتركونتيننتالمدينة دار الإيمان من آي إتش جي,Intercontinental Madinah - Dar Al Iman by IHG,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
أنتيرا من كونتيننتال,Antyra Mn Kwntynntal Hotel,المدينة المنورة,المنطقة المركزية,المنطقة المركزية / Central Zone,داخل المنطقة المركزية / Central Area,125,100,0,رسمي موثق / Official Verified,المخطط الإرشادي للمسجد النبوي ومرافقه وفنادق المنطقة المركزية,,1448هـ / 2026م,تمت مطابقة الاسم ورقم الموقع من المخطط المرفق؛ الترخيص التجاري يحتاج تحققًا مستقلاً,Standardized transliteration from official-map Arabic name,Central204
فندق أنسام طيبة,Ansam Taiba Hotel,المدينة المنورة,العريض,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,,,OTA/brand matched,OTA400
أنوار الزهراء,Anwar Al Zhra' Hotel,المدينة المنورة,المنطقة المركزية,المنطقة المركزية / Central Zone,داخل المنطقة المركزية / Central Area,387,300,0,رسمي موثق / Official Verified,المخطط الإرشادي للمسجد النبوي ومرافقه وفنادق المنطقة المركزية,,1448هـ / 2026م,تمت مطابقة الاسم ورقم الموقع من المخطط المرفق؛ الترخيص التجاري يحتاج تحققًا مستقلاً,Standardized transliteration from official-map Arabic name,Central204
فندق أنوار المدينة موفنبيك,Anwar Al Madinah Mövenpick Hotel,المدينة المنورة,المنطقة المركزية الشمالية,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,,,OTA/brand matched,OTA400
فندق أوبروي المدينة,"The Oberoi, Madina",المدينة المنورة,المنطقة المركزية الشمالية,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,,,OTA/brand matched,OTA400
فندق أودست المدينة,Odest Hotel Al Madina,المدينة المنورة,المنطقة المركزية الشمالية,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,,,OTA/brand matched,OTA400
فندق أونارا ستاي,ONARA STAY HOTEL,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
اونارا ستاي 2 للشقق المخدومه,Awnara Stay 2 Llshqq Al Mkhdwmh Hotel,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,Standardized transliteration,OTA400
فندق إيلاف التقوى,Elaf Al Taqwa Hotel,المدينة المنورة,المنطقة المركزية الجنوبية,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,,,OTA/brand matched,OTA400
فندق إيلاف المشاعر,Elaf Al Mashaer Hotel,المدينة المنورة,المنطقة المركزية,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,,,OTA/brand matched,OTA400
فندق إيلاف طيبة,Elaf Taiba Hotel,المدينة المنورة,المنطقة المركزية الغربية,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,,,OTA/brand matched,OTA400
إيليت النوخبا الخاليدييياه,Elite Alnokhba - Alkhalidiyyah,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Booking.com Madinah directory,https://www.booking.com/city/sa/medina.en-gb.html,,,OTA English + standardized Arabic,OTA400
إيليت الهيجرا,Elite Alhijra,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
فندق إيليت هافين,Hotel Elite Haven,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
فندق إيليت هافين نيو,Elite Haven New Hotel,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
فندق إي هوتيل,E Hotel,المدينة المنورة,العريض,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,,,OTA/brand matched,OTA400
فندق إيوا إكسبريس المدينة,Ewaa Express Hotel Madinah,المدينة المنورة,خارج المنطقة المركزية,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,,,OTA/brand matched,OTA400
فندق إيوان دار الهجرة,Ewan Dar Alhejra Hotel,المدينة المنورة,خارج المنطقة المركزية — قريب,خارج المنطقة المركزية / Outside Central Zone,قريب من المنطقة المركزية حتى 2 كم / Near Central up to 2 km,,,1.8,يحتاج مراجعة / Needs Review,Booking.com,https://www.booking.com/hotel/sa/iwan-dar-alhejra.html,2026,المسافة المنشورة لا تتجاوز 2 كم من المسجد النبوي,Existing verified English name,Central204
فندق باين إن,Pine Inn Hotel,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
فندق برج جزيرة العرب,BORJ JAZIRAT ALARAB HOTEL,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
فندق بلاتينيوم,Platinum Hotel,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
فندق بلاتينيوم الأول,Platinum The First,المدينة المنورة,العزيزية,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,,,OTA/brand matched,OTA400
فندق بلاتينيوم المدينة,Platinum Hotel Madinah,المدينة المنورة,المنطقة المركزية الشمالية,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,,,OTA/brand matched,OTA400
بلازا إن أحد,Plaza Inn Ohud,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
فندق بلفيدير,Belvedere Hotel,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
فندق بلنسية المدينة,Balensia Hotel,المدينة المنورة,المنطقة المركزية الغربية,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,,,OTA/brand matched,OTA400
فندق بنينسولا ورث,Peninsula Worth Hotel,المدينة المنورة,المنطقة المركزية,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,,,OTA/brand matched,OTA400
فندق بورج مودة,Burj Mawaddah Hotel,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
فندق بولمان زمزم المدينة,Pullman Zamzam Madina,المدينة المنورة,المنطقة المركزية الجنوبية,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,,,OTA/brand matched,OTA400
فندق بيت سلسبيل,Beat Salsbil Hotel,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
بيلتمور المدينة,Byltmwr Madinah Hotel,المدينة المنورة,المنطقة المركزية,المنطقة المركزية / Central Zone,داخل المنطقة المركزية / Central Area,101,100,0,رسمي موثق / Official Verified,المخطط الإرشادي للمسجد النبوي ومرافقه وفنادق المنطقة المركزية,,1448هـ / 2026م,تمت مطابقة الاسم ورقم الموقع من المخطط المرفق؛ الترخيص التجاري يحتاج تحققًا مستقلاً,Standardized transliteration from official-map Arabic name,Central204
بينسك وورث,Bynsk Wwrth Hotel,المدينة المنورة,المنطقة المركزية,المنطقة المركزية / Central Zone,داخل المنطقة المركزية / Central Area,127,100,0,رسمي موثق / Official Verified,المخطط الإرشادي للمسجد النبوي ومرافقه وفنادق المنطقة المركزية,,1448هـ / 2026م,تمت مطابقة الاسم ورقم الموقع من المخطط المرفق؛ الترخيص التجاري يحتاج تحققًا مستقلاً,Standardized transliteration from official-map Arabic name,Central204
فندق بيوت قباء,Buyut Quba Hotel,المدينة المنورة,قباء,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,,,OTA/brand matched,OTA400
فندق بيوند ليمتس,Beyond Limits hotel,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
فندق تاج الإيمان,Taj Al Eiman Hotel,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
تاج ورد,Taj Wrd Hotel,المدينة المنورة,المنطقة المركزية,المنطقة المركزية / Central Zone,داخل المنطقة المركزية / Central Area,446,400,0,رسمي موثق / Official Verified,المخطط الإرشادي للمسجد النبوي ومرافقه وفنادق المنطقة المركزية,,1448هـ / 2026م,تمت مطابقة الاسم ورقم الموقع من المخطط المرفق؛ الترخيص التجاري يحتاج تحققًا مستقلاً,Standardized transliteration from official-map Arabic name,Central204
فندق تريبُل ثري,Triple Three Hotel,المدينة المنورة,قرب المطار,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,,,OTA/brand matched,OTA400
توليب إن ال داار روافد,TULIP INN AL DAAR RAWAFID,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
فندق تيلا,Teela Hotel,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
فندق جادة المدينة,Jadah Al Madinah Hotel,المدينة المنورة,قربان,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,,,OTA/brand matched,OTA400
فندق جادة ريزيدنس باي سي إتش,Jadah Residence-BY CH,المدينة المنورة,خارج المنطقة المركزية,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,,,OTA/brand matched,OTA400
فندق جايدن,Jayden Hotel,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
جراند الشهباء,Grand AL-Shahbaa,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
جراند الصافي,Grand Al Safy Hotel,المدينة المنورة,المنطقة المركزية,المنطقة المركزية / Central Zone,داخل المنطقة المركزية / Central Area,350,300,0,رسمي موثق / Official Verified,المخطط الإرشادي للمسجد النبوي ومرافقه وفنادق المنطقة المركزية,,1448هـ / 2026م,تمت مطابقة الاسم ورقم الموقع من المخطط المرفق؛ الترخيص التجاري يحتاج تحققًا مستقلاً,Standardized transliteration from official-map Arabic name,Central204
جراند بلازا السلام,Grand Plaza Al Salam Hotel,المدينة المنورة,المنطقة المركزية,المنطقة المركزية / Central Zone,داخل المنطقة المركزية / Central Area,322,300,0,رسمي موثق / Official Verified,المخطط الإرشادي للمسجد النبوي ومرافقه وفنادق المنطقة المركزية,,1448هـ / 2026م,تمت مطابقة الاسم ورقم الموقع من المخطط المرفق؛ الترخيص التجاري يحتاج تحققًا مستقلاً,Standardized transliteration from official-map Arabic name,Central204
فندق جراند بلازا المدينة,Grand Plaza Al Madina,المدينة المنورة,المنطقة المركزية الشمالية,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,,,OTA/brand matched,OTA400
فندق جراند بلازا بدر المقام,Grand Plaza Badr Al Maqam,المدينة المنورة,المنطقة المركزية الشمالية,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,,,OTA/brand matched,OTA400
فندق جراند زوار,Grand Zowar Hotel,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
فندق جراند ميلينيوم الحرم,Grand Millennium Al Haram,المدينة المنورة,المنطقة المركزية,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,,,OTA/brand matched,OTA400
جلنار الراكي,gelnar alraqi,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
فندق جلنار طيبة,Gulnar Taiba Hotel,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
فندق جوار الأندلس,Gewar Alandalus Hotel,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
جوار الرحمة,Jawar Al Rahma,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
فندق جوار الساحة,Jiwar Al Saha Hotel,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
جوار المدينة,Jiwar Madinah Hotel,المدينة المنورة,المنطقة المركزية,المنطقة المركزية / Central Zone,داخل المنطقة المركزية / Central Area,428,400,0,رسمي موثق / Official Verified,المخطط الإرشادي للمسجد النبوي ومرافقه وفنادق المنطقة المركزية,,1448هـ / 2026م,تمت مطابقة الاسم ورقم الموقع من المخطط المرفق؛ الترخيص التجاري يحتاج تحققًا مستقلاً,Standardized transliteration from official-map Arabic name,Central204
جوار طيبة,Jiwar Taiba Hotel,المدينة المنورة,المنطقة المركزية,المنطقة المركزية / Central Zone,داخل المنطقة المركزية / Central Area,375,300,0,رسمي موثق / Official Verified,المخطط الإرشادي للمسجد النبوي ومرافقه وفنادق المنطقة المركزية,,1448هـ / 2026م,تمت مطابقة الاسم ورقم الموقع من المخطط المرفق؛ الترخيص التجاري يحتاج تحققًا مستقلاً,Standardized transliteration from official-map Arabic name,Central204
جولدن توليب الذهبي,Golden Tulip Al Zahabi,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
فندق جولدن توليب المكتان,Emaar Mektan Hotel,المدينة المنورة,المنطقة المركزية الغربية,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,,,OTA/brand matched,OTA400
فندق جولدن جاردن,Golden Garden Hotel,المدينة المنورة,العريض,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,,,OTA/brand matched,OTA400
فندق جيور المدينة,Jiwar Al Madina Hotel,المدينة المنورة,المنطقة المركزية,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,,,OTA/brand matched,OTA400
فندق حصون الجيوار,Hoson Aljiwar hotel,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
حياة الذهبي,Hayah Golden Hotel,المدينة المنورة,المنطقة المركزية,المنطقة المركزية / Central Zone,داخل المنطقة المركزية / Central Area,220,200,0,رسمي موثق / Official Verified,المخطط الإرشادي للمسجد النبوي ومرافقه وفنادق المنطقة المركزية,,1448هـ / 2026م,تمت مطابقة الاسم ورقم الموقع من المخطط المرفق؛ الترخيص التجاري يحتاج تحققًا مستقلاً,Standardized transliteration from official-map Arabic name,Central204
فندق حياة السلام سيلفر,Hayah Salam Silver Hotel,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
حياة الماسي,Hayah Almasi Hotel,المدينة المنورة,المنطقة المركزية,المنطقة المركزية / Central Zone,داخل المنطقة المركزية / Central Area,385,300,0,رسمي موثق / Official Verified,المخطط الإرشادي للمسجد النبوي ومرافقه وفنادق المنطقة المركزية,,1448هـ / 2026م,تمت مطابقة الاسم ورقم الموقع من المخطط المرفق؛ الترخيص التجاري يحتاج تحققًا مستقلاً,Standardized transliteration from official-map Arabic name,Central204
حياة الهدى,Hayah Al Hda Hotel,المدينة المنورة,المنطقة المركزية,المنطقة المركزية / Central Zone,داخل المنطقة المركزية / Central Area,245,200,0,رسمي موثق / Official Verified,المخطط الإرشادي للمسجد النبوي ومرافقه وفنادق المنطقة المركزية,,1448هـ / 2026م,تمت مطابقة الاسم ورقم الموقع من المخطط المرفق؛ الترخيص التجاري يحتاج تحققًا مستقلاً,Standardized transliteration from official-map Arabic name,Central204
فندق حياة الواحة,Hayah Al Waha Hotel,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
فندق حياة إنترناشيونال,Hayatt International Hotel,المدينة المنورة,المنطقة المركزية الشمالية,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,,,OTA/brand matched,OTA400
فندق حياة بلازا,Hayah Plaza Hotel,المدينة المنورة,المنطقة المركزية الجنوبية,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,,,OTA/brand matched,OTA400
حياة جراند,Hayah Grand Hotel,المدينة المنورة,المنطقة المركزية,المنطقة المركزية / Central Zone,داخل المنطقة المركزية / Central Area,331,300,0,رسمي موثق / Official Verified,المخطط الإرشادي للمسجد النبوي ومرافقه وفنادق المنطقة المركزية,,1448هـ / 2026م,تمت مطابقة الاسم ورقم الموقع من المخطط المرفق؛ الترخيص التجاري يحتاج تحققًا مستقلاً,Standardized transliteration from official-map Arabic name,Central204
دار الإيمان أحد,Dar Al Eiman Ohud,المدينة المنورة,,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Expedia Madinah all-properties directory,https://www.expedia.co.uk/All-Madinah-Hotels.d602705.Travel-Guide-City-All-Hotels,,,OTA English + standardized Arabic,OTA400
فندق دار الإيمان الحرم,Dar Al Eiman Al Haram Hotel,المدينة المنورة,المنطقة المركزية,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,,,OTA/brand matched,OTA400
فندق دار الإيمان السلام,Dar Al Eiman Al Salam Hotel,المدينة المنورة,العنبرية,,,,,,مصدر حجز — يحتاج مطابقة الترخيص / OTA sourced — licence verification required,Existing WAFD reference,,,,OTA/brand matched,OTA400
